Convergence,,,,
,,,,
Axis 1 - Measures for the adaptation of the cummunity fishing fleet,,,,
,,,,
Beneficiary,Project title, EFF Grant , MMO Grant ,Ref
Interfish Ltd,Project 1 - Packing Line,"£24,632.60","£24,632.60",FEF0488
D and H Gladwell Oysters,Oyster Cages,£980.00,£980.00,FEF0505
Frank Round Ltd,Factory Re-Fit 2010,"£22,829.60","£22,829.60",FEF0510
Swallow Fish Ltd,Herring Splitting Machine,"£3,918.40","£3,918.40",FEF0512
North Quay Seafoods3,North Quay Seafoods - 3,"£7,955.78","£7,955.78",FEF0514
RDS Northwest Ltd,Packing area and fish preperation area,"£5,594.80","£5,594.80",FEF0518
Warners Fish Merchants,Warners Fish Merchants - New Facility,"£276,713.48","£276,713.48",FEF0523
JCS Fish Ltd,Variovac,"£4,500.00","£4,500.00",FEF0529
W Hodgson (Hartlepool) ltd,Hartlepool Quayside Expansion,"£58,115.49","£58,115.49",FEF0542
Lindisfarne Oysters,Lindisfarne oyster processing project,"£16,099.53","£16,099.53",FEF0553
S Riddler Ltd,Tray Sealing Project,"£6,024.20","£6,024.20",FEF0569
A N Other,Skate Skinning Machine,"£1,541.23","£1,541.23",FEF0580
T G Wood Limited,Factory refurbishment,"£9,856.00","£9,856.00",FEF0592
JCS Fish Ltd,Tracesoft,"£3,932.56","£3,932.56",FEF0611
A N Other,Endurance,£864.80,£864.80,FEF0615
Shellfish South West,Purchase of Snorre Crab leg Meat Extracting Machine,"£2,258.40","£2,258.40",FEF0622
Coombe Fisheries Ltd,Ice Maker,"£8,473.15","£8,473.15",FEF0629
Whitby Seafoods Ltd,Multi Head Extrusion Equipment,"£18,181.80","£18,181.80",FEF0635
Albert Darnell Limited,Installation of refrigeration equipment and added value fish mince processing line,"£67,122.00","£67,122.00",FEF0637
Venture Seafoods Ltd,Proposal for a new Shellfish Processing Facility,"£59,821.09","£59,821.09",FEF0655
Kirwin Brothers Ltd,PURCHASE AND INSTALLATION OF A FISH GRADING MACHINE AND SOFTWARE,"£23,857.40","£23,857.40",FEF0663
AM Seafoods Limited,Blast Freezer,"£21,350.00","£21,350.00",FEF0670
AM Seafoods Limited,Utility Integration,"£15,322.95","£15,322.95",FEF0674
W Simpson Ltd,Multihead weighing packing line,"£18,518.00","£18,518.00",FEF0679
Lockwood Estates,Tilapia Waste Water Handling Facilities,"£3,023.20","£3,023.20",FEF0684
Seabreeze Trawlers Ltd,Seabreeze Ice Maker,"£1,244.20","£1,244.20",FEF0689
Jack Wright (Fleetwood) Ltd,New Fish Defrosting System,"£19,763.80","£19,763.80",FEF0693
Severn and Wye Smokery Ltd,Salmon bins and automated portion cutting,"£73,501.40","£73,501.40",FEF0706
Weymouth Harbour Traders Association Ltd,2012 Dorset Seafood Festival,"£5,511.50","£5,511.50",FEF0724
Chill Fresh Fish Limited,Chill Fresh Fish Limited,"£20,881.40","£20,881.40",FEF0725
Craig Davies T/A Ship to Shore Fishmerchant,Factory Improvements,£815.40,£815.40,FEF0730
Aquanet Ltd,Depuration Facility,£276.07,£276.07,FEF0733
OTHNIEL OYSTERS LTD,Increase in Oyster Spat Growing Facilities and Production Upgrades,"£9,972.80","£9,972.80",FEF1153
Glass Eels Ltd,Glass Eels,"£54,482.76","£54,482.76",FEF0751
Garfish Exports Ltd,Fit out of New Processing Unit,"£12,549.68","£12,549.68",FEF0753
S Riddler Ltd,Mackerel Gutter,"£4,600.00","£4,600.00",FEF0755
Atlantic Fresh Limited,Atlantic Fresh Relocation,"£23,333.98","£23,333.98",FEF0756
Romsey Trout Farm Ltd,Romsey Trout Farm Oxygen System Efficiency Upgrade,"£1,193.49","£1,193.49",FEF0769
Padworth Trout Farm Ltd,Padworth T F Oxygenation System Efficiency Upgrade,"£2,429.86","£2,429.86",FEF0770
Test Valley Trout,Test Valley Trout Oxygenation System Efficiency Upgrade.,"£3,596.00","£3,596.00",FEF0771
Test Valley Trout,TVT(Itchen) Oxygenation System Efficiency Upgrade.,"£2,592.55","£2,592.55",FEF0772
Houghton Springs Fish Farm,"PROJECT FOR THE UTILISATION OF OVA FROM TWO YEAR OLD, GROWTH ENHANCED STRAIN OF RAINBOW TROUT","£15,022.00","£15,022.00",FEF0775
Coombe Fisheries Ltd,Coombe Fisheries Factory Extension,"£150,000.69","£150,000.00",FEF0787
Baron Shellfish,shellfish storage and marketing improvements,"£11,665.97",£614.00,FEF1353
Saggiomo luxury foods limited,business growth plan,"£24,535.35","£1,291.33",FEF1355
Blyth Fish Ltd,Ice-Making Machine,"£5,853.00","£5,853.00",FEF0837
Ken Green Fishmerchants,Previous successful application for grant aid.,"£1,271.00","£1,271.00",FEF0834
The Lowestoft Shellfish Company,The Lowestoft Shellfish Co Cooke Road,"£19,404.30","£19,404.30",FEF0835
Venture Seafoods Ltd,"Safety, Efficiency and Equality","£15,826.20","£15,826.20",FEF0841
Osborne & Sons (Shellfish) Limited,Osborne & Sons (Shellfish) Limited Cockle Project,"£16,474.20","£16,474.20",FEF0983
Coombe Fisheries Ltd,Coombe Fisheries Shell Sales Handling and Distribution Equipment,"£11,162.61","£11,162.61",FEF0882
K & S Fish Limited,K & S Fish Expansion,"£19,165.23","£19,165.23",FEF0883
Jonas Seafoods Ltd,Stone Hill Way,"£66,900.00","£66,900.00",FEF0889
The Lowestoft Shellfish Company,The Lowestoft Shellfish Co Phase 2,"£11,503.39","£11,503.39",FEF0891
Offshore Shellfish Limited,Lyme Bay Mussel Farm,"£103,285.80","£103,285.80",FEF0892
Severn and Wye Smokery Ltd,Marsden Road Filleting Line,"£124,845.62","£124,845.62",FEF0895
Jack Wright (Fleetwood) Ltd,Fish Filleting Machine,"£24,000.00","£24,000.00",FEF1011
Seaview Fisheries - Traditional Smokehouse,Traditional Smoke House,"£9,043.00","£9,043.00",FEF0911
JCS Fish Ltd,Provision of improved staff facilities and construction of security fencing,"£9,238.80","£9,238.80",FEF0922
Worldwide UK Enterprises Ltd,Shellfish depuration centre and dispatch centre with processing plant,"£18,881.71","£18,881.71",FEF0925
Jonas Seafoods Ltd,Stone Hill Way - Phase 2,"£8,463.58","£8,463.58",FEF0948
K & S Fish Limited,K and S Fish Expansion Phase 2,"£7,092.51","£7,092.51",FEF0950
North Shields Fish Quay Company Ltd,North Shields Fish Quay LED Lighting Scheme,"£9,905.93","£9,905.93",FEF0961
JCS Fish Ltd,IT upgrade project 2013,"£6,130.00","£6,130.00",FEF0993
AB Shellfish Limited,Lobster Filtration and Chilling System,"£7,509.00","£7,509.00",FEF1024
Whitby Seafoods ltd,ERP Production System 2013,"£19,639.00","£19,639.00",FEF1031
Mick Grime Shellfish Ltd,Stage 2 Shellfish Process,"£18,731.80","£18,731.80",FEF1036
Exmouth Mussels Ltd,"Automated Conditioning, Weighing and Tray Sealing System","£25,783.95","£25,783.95",FEF1046
Jaines & Sons (Grimsby) Ltd,Relocation and Modernisation Project,"£85,894.40","£85,894.40",FEF1048
Bio-aqua Farm Ltd,Bioaqua : Farm,"£3,507.39","£3,507.39",FEF1050
Coln Valley Smokery Ltd,Installation of New Long Slicing Machine,"£11,998.40","£11,998.40",FEF1086
Jonas Seafoods Ltd,Stone Hill Way - Phase 3,"£9,732.90","£9,732.90",FEF1092
Lynn Shellfish Ltd,Lynn Shellfish Shrimp Quality Improvements,"£15,460.00","£15,460.00",FEF1111
Coombe Fisheries Ltd,"Coombe Fisheries Factory Extension/Stage 2, Blast Freezer, Packing Line","£148,627.39","£148,627.39",FEF1115
The Fresh Shrimp Company Ltd,prawn recirculating aquaculture,"£2,542.61","£2,542.61",FEF1128
Sefton Meadow Seafoods Limited,"Processing, Packaging and Distribution Factory and Cold Store","£150,000.00","£150,000.00",FEF1135
Edwin Jenkinson Ltd,Shellfish vivier upgrade,"£13,907.60","£13,907.60",FEF1139
DONNAN QUAYSIDE FISHERIES LTD,ICE MAKING MACHINE AND ICE TRANSPORT SYSTEM,"£1,261.46","£1,261.46",FEF1140
Coombe Fisheries Ltd,Coombe Fisheries Factory Extension/Stage 3 Individual Quick Freezing Capability,"£149,999.84","£149,999.84",FEF1146
Colchester Oyster Fishery Ltd,installation of smokery and website upgrading,"£1,224.00","£1,224.00",FEF1177
PPS East Ltd,new high capacity box wash line to brc standards,"£49,280.00","£49,280.00",FEF1215
Coombe Fisheries Ltd,Staff welfare facilities etc,"£116,662.65","£116,662.65",FEF1218
crosscuts limited,provision of essential chilled storage & processing capacity,"£2,288.00","£2,288.00",FEF1379
Seafood and eat it ltd,PRODUCTION CAPACITY INCREASE,"£15,886.80","£15,886.80",FEF1233
aquafish solutions limited,test of innovative culture system for native oyster culture & restoration in the river exe,£785.04,£785.04,FEF1239
Kevin Stansfield Limited,"Increase in Processing, Packing and Cold Storage Facilities","£19,396.20","£19,396.20",FEF1257
Coombe Fisheries Ltd,Materials Handling Equipment Upgrade,"£8,950.00","£8,950.00",FEF1297
Ken Green Fishmerchants,CONSTANT CAREFUL IMPROVEMENTS,"£1,828.00","£1,828.00",FEF1300
New England Seafood International  Ltd,Sashimi Manufacture,"£150,000.00","£150,000.00",FEF1327
Sefton Meadow Seafoods Limited,New Equipment & Technology for Expanded Raw Shellfish Processing Line,"£149,999.05","£149,999.05",FEF1332
Samways Fish Merchants & International Transporter,Expansion and upgrade of production facility II,"£39,788.33","£39,788.33",FEF1450
JCS Fish Ltd,Spiral Freezer,"£65,720.00","£65,720.00",FEF1434
Underwood's Shellfish Ltd,Richmond Place Crab Processing Plant,"£118,993.20","£118,993.20",FEF1443
Coombe Fisheries Limited,Installation of automated cuttlefish processing line,"£133,490.28","£133,490.28",FEF1448
Whitby Seafoods Limited,Case Packing System 2014,"£69,023.20","£69,023.20",FEF1458
dorset fish & shellfish ltd,chilled crab holding tanks,"£6,805.84","£6,805.84",FEF1467
s&j fisheries ltd,capital expenditure on fish processing facilities,"£13,243.16","£13,243.16",FEF1475
alfred enderby ltd,blast chiller modernisation project,"£2,991.00","£2,991.00",FEF1476
BFP eastern Ltd,whole fish boxes,"£2,386.00","£2,386.00",FEF1511
lindisfarne oysters ltd,lindisfarne oyster purification project,"£8,877.48","£8,877.48",FEF1514
gr bunning & co,BUNNING BRINING MACHINE,"£9,500.00","£9,500.00",FEF1583
A N Other,BUNNING REFRIGERATION EQUIPMENT,"£15,892.20","£15,892.20",FEF1597
oban fish selling co ltd,flake ice machine,"£4,184.80","£4,184.80",FEF1604
A&M frary shellfish limited,New build,"£5,968.80","£5,968.80",FEF1611
BLEIKER'S SMOKE HOUSE LTD,"CAPITAL EXPENDITURE ON ONE COLD SMOKING KILN, ONE MAP SKIN TRAY SEALER AND ONE METAL DETECTOR","£19,926.00","£19,926.00",FEF1614
BLEIKER'S SMOKE HOUSE LTD,CAPITAL EXPENDITURE ON A HOT SMOKING KILN,"£19,700.00","£19,700.00",
ATLANTIC OCEAN SEAFOODS LIMITED,INCREASE IN CHILLED STORAGE CAPACITY AND PURCHASE OF PALLET INVERTER,"£4,100.06","£4,100.06",FEF1626
COPERNUS LTD,INSTALLATION OF SALMON PROCESSING EQUIPMENT,"£14,586.37","£14,586.37",FEF1627
Chapmans of Rye Ltd,Rye Harbour Project,"£12,011.14","£12,011.14",FEF1645
Venture Seafoods,Increased freezing/storage capacity,"£14,243.56","£14,243.56",FEF1646
Offshore Shellfish Ltd,Lyme Bay Offshore Mussel Farm Stage 2,"£17,436.98","£17,436.98",FEF1765
Offshore Shellfish,Lyme Bay Offshore Mussel Farm Stage 3,"£19,099.23","£19,099.23",FEF1766
Offshore Shellfish Ltd,Lyme Bay Offshore Mussel Farm stage 4,"£18,200.00","£18,200.00",FEF1767
ph fish llp,smokehouse development,"£8,585.03","£8,585.03",FEF1798
seafood & eat it ltd,waste crab meat - value added processing,"£19,993.89","£19,993.89",FEF1801
Catch IOW Ltd,marketing & distribution development,"£11,648.68","£11,648.68",FEF1806
KC Caviar Limited,Fields Farm,"£1,762.99","£1,762.99",FEF1807
venture seafoods ltd,increased freezing / storage capacity part 2,"£19,603.90","£19,603.90",FEF1809
Solway Marine Oysters,Oyster's Promotion,"£3,136.47","£3,136.47",FEF1832
,,,,
Axis 3 - Measures of common interest,,,,
,,,,
Beneficiary,Project title, EFF Grant , MMO Grant ,Ref
Seafish Industry Authority,Lean Six Sigma Business Improvement,"£19,850.00", £-   ,FEF0011
Shellfish Association Of Great Britain,Under- utilised UK Shellfish Species- Identification of Market  Opportunities,"£2,375.00","£2,090.00",FEF0012
Royal National Lifeboat Institution,MOB Guardian,"£188,255.00","£188,255.00",FEF0001
Shellfish Association Of Great Britain,Approriate Assesments &Shellfisheries: Adaptive Management Protocol,"£3,000.00", £-   ,FEF0013
Shellfish Association Of Great Britain,Management Of Crab Stocks,"£3,875.00","£3,875.00",FEF0003
Seafish Industry Authority,Seabed Hazards Information Project 3 (SHIP3),"£156,846.50", £-   ,FEF0019
Sussex Sea Fisheries Committee,UK Inshore Fisheries Sustainability Project- Pilot Phase,"£30,768.01", £-   ,FEF0034
North Sunderland Harbour Commissioners,Harbour Master's Diploma,£724.75,£724.75,FEF0263
Shoreham Port,Shoreham Port Under 12m Fishermen's Berths Improvements,"£12,953.13","£12,953.13",FEF0040
Brixham Trawler Agents Ltd,Brixham Regeneration Phase 2 - New Chillers,"£18,524.50","£18,524.50",FEF0056
Torbay Council,Brixham Regeneration Phase 2,"£220,292.00", £-   ,FEF0057
Wells Harbour Commissioners,Improved Quay facilities for fishermen - Wells-next-the-Sea,"£130,594.19","£130,594.19",FEF0058
Seafood Training Centre,Fishing Industry Skills Hub Phase 2,"£93,920.01", £-   ,FEF0060
Tollesbury & Mersea Native Oyster Fishery Co Ltd,MSC Assessment of Tollesbury and Mersea Native Oysters,"£3,310.00","£3,310.00",FEF0072
Billingsgate Seafood Training School,Upgrading professional fishmonger knife skills training room,"£4,054.75","£4,054.75",FEF0079
North Sunderland Harbour Commissioners,Fishermen;s Stores,"£14,625.00","£14,625.00",FEF0261
Cefas,Sardine and Anchovy in the Celtic Sea,"£345,850.00", £-   ,FEF0361
North Shields Fish Quay Company Ltd,West Quay (Fish Quay) Refurbishment,"£2,000,000.00", £-   ,FEF0178
Seafish Industry Authority,Responsible Fishing Scheme Expansion - Pan UK,"£26,885.50", £-   ,FEF0191
Cefas,Development of multiple indicator based assessment and management frameworks- edible crab & lobster,"£29,748.00", £-   ,FEF0632
Sustain: The alliance for better food and farming,London 2012 Sustainable Fish Legacy,"£13,839.00","£13,839.00",FEF0634
Weymouth Harbour Traders Association Ltd,The Dorset Seafood Festival (DSF 2009),"£2,594.40","£2,594.40",FEF0218
Leigh On Sea Town Council,Leigh Fishing Festival,£470.00, £-   ,FEF0226
Channel & West Sustainable Trawling Group (C&WSTG),MSC Accreditation of SW Trawl & Beam Trawl Fisheries,"£5,168.60","£5,168.60",FEF0249
North Sunderland Harbour Commissioners,Fishermen's Container Storage,"£3,583.75","£3,583.75",FEF0253
"University of Greenwich, Maritime Institute",The Role and Contribution of Women in the Fishing Industry,"£19,700.00", £-   ,
John Lake Shellfish Ltd,Innovation - Revolutionary Shrimp Sorter,"£32,400.00","£32,400.00",FEF0589
Bridlington Harbour Commissioners,Replacement Boat Hoist,"£19,188.00","£19,188.00",FEF0265
Seafish Industry Authority,Updating the content of fishermen's basic safety training courses - Pan UK Project - Phase 1,"£17,234.50", £-   ,FEF0268
Seafish Industry Authority,Fishermen's Training,"£257,593.50", £-   ,FEF0273
Seafish Industry Authority,Trawl Gear Technology (Hirtshals),"£59,716.74", £-   ,FEF0274
BrixhamTrawler Agents Ltd,New Electronic Sales and Electronic Pump -up Trucks,"£10,925.00","£10,925.00",FEF0299
Aldeburgh  Fishermen's Trade Guild,CCTV Project,"£2,620.25","£2,620.25",FEF0302
Brixham Trawler Agents Ltd,Security Camera System,"£3,742.00","£3,742.00",FEF0309
Whitehaven Marina Ltd,Whitehaven Marina Fishing Boat Pontoon,£947.25,£947.25,FEF0338
Whitehaven Harbour Commissioners,Whitehaven Ice Plant Auto Ice Delivery,"£5,917.25","£5,917.25",FEF0340
Newhaven Port & Properties Ltd,Fishing Stage 7,"£188,570.00","£188,570.00",FEF0350
Plymouth Trawler Agents Limited,Upgrade of the Electronic Auction System,"£39,730.50","£39,730.50",FEF0351
Cefas,Improved selectivity of crab pots,"£28,094.16", £-   ,FEF0356
Warkworth Harbour Commissioners,Fuel Tank,"£4,867.00","£4,867.00",FEF0374
Hartlepool Fish Co Limited,Material Handling,"£4,432.75","£4,432.75",FEF0747
City of London Corporation Billingsgate Market,Street Washer,"£27,295.50","£27,295.50",FEF0404
Weymouth and Portland Borough Council,Replacement Pontoon Works CHQ,"£11,079.18","£11,079.18",FEF0410
Billingsgate Seafood Training School,Development of seafoodtraining.org,"£1,175.00","£1,175.00",FEF0432
North Sunderland Harbour Commissioners,Improvement to outer harbour by reducing swell conditions,"£4,918.75","£4,918.75",FEF0433
Sutton Harbour Company,"Sutton Harbour Fisheries: Proposed Improvements to Units 12, 13, 14, 15 and 16","£26,519.65","£26,519.65",FEF0455
Seafish Industry Authority,Good Practice Guide and Spacial Management,"£8,000.00","£8,000.00",FEF0457
Cefas,Cumbrian Fisheries Discards Reduction Scheme,"£92,434.00", £-   ,FEF0460
East Riding of Yorkshire Council,Withernsea Commercial Fishing Boat Facility,"£464,295.00", £-   ,FEF0463
The Clovelly Estate Company Ltd,Fishermens stores,"£53,862.35","£53,862.35",FEF0464
A N Other,Regeneration of Southwold Harbour North Dock Wall & construction of fish and fuel dock,"£1,221,077.00", £-   ,FEF0465
Hastings Borough Council,"Access Control, Security and Safety","£65,961.50", £-   ,FEF0469
Seafish Industry Authority,Accreditation of Channel Scallop Fishery to MSC Standards,"£22,473.45","£22,473.45",FEF0470
Scarborough District Council,Heavy Duty Landing Davit,"£5,350.00", £-   ,FEF0506
CNV Systems Ltd,INNOVATION - SC4 Inshore Fisheries - Man Overboard alert and rescue system,"£88,065.00","£88,065.00",FEF0522
Grimsby Fish Dock Enterprises Ltd,Grimsby Fish Dock Enterprises Ltd,"£303,496.00","£303,496.00",FEF0524
Shellfish Association Of Great Britain,The Great British Tasting Guide Iphone Application,"£1,100.40","£1,100.40",FEF0533
Shellfish Association Of Great Britain,"Expansion of online ""How to"" shellfish films","£2,011.35","£2,011.35",FEF0540
Billingsgate Seafood School,Billingsgate School Extended Education Programme,"£35,117.80","£35,117.80",FEF0543
Seafish Industry Authority,INNOVATION - SAGB - Project Inshore England,"£161,787.25","£161,787.25",FEF0549
Westem Training Association,INNOVATION - Bridging the Gap,"£160,388.64","£160,388.64",FEF0560
Hartlepool Fish co ltd,Electrical and CCTV works,"£5,233.75","£5,233.75",FEF0565
The Fishermans Mission,INNOVATION - FishWell Norfolk,"£2,025.00","£2,025.00",FEF0568
Shellfish Association Of Great Britain,Pacific Oyster (Crassostrea gigas) Issues Paper,"£13,187.86", £-   ,FEF0570
Western Training Association Ltd,INNOVATION - Scope for Improvement,"£32,445.00","£32,445.00",FEF0572
Northern Isle - Whitby Catch N Cook,INNOVATION - Whitby Catch n Cook,"£4,643.97","£4,643.97",FEF0577
South East Food Group Partnership Ltd,INNOVATION - Catch of the day,"£25,344.45","£25,344.45",FEF0595
Seafish Industry Authority,INNOVATION - Fishermen Environmental Monitoring,"£39,233.85","£39,233.85",FEF0603
Cefas,INNOVATION - Shark By-Watch UK,"£99,454.50","£99,454.50",FEF0605
A N Other,INNOVATION - GreenFishers,"£7,814.31","£7,814.31",FEF0607
Letzers Fishing Co,INNOVATION - Inshore Seine Netting,"£6,788.25","£6,788.25",FEF0608
City of London Corporation,Promoting Sustainable Fish at Billingsgate Market,"£29,000.00", £-   ,FEF0617
Scarborough Borough Council,Refrigeration System Scarborough Harbour,"£5,609.50", £-   ,FEF0631
Seafish Industry Authority,New Entrant Training - Non Convergence,"£48,480.00", £-   ,FEF0638
Seafish Industry Authority,Fishermen's Safety Refresher Training - Non Convergence,"£209,000.00", £-   ,FEF0639
Brixham Trawler Agents Ltd,Electronic Registration System,"£42,465.00","£42,465.00",FEF0645
Sparsholt College Hampshire,Replace Salmonid Hatchery,"£120,930.94","£120,930.94",FEF0647
THE BARROW AND FURNESS FISHERMENS ASSOCIATION,PURCHASE OF ICEY-TEK STORAGE BINS,£994.74,£994.74,FEF0657
Whitby Fish Sales Limited,Whitby Fish Markets,"£4,493.75","£4,493.75",FEF0658
West Dorset District Council,WEST BAY DRY DOCK AND WATER/ELEC SUPPLY,"£7,889.00", £-   ,FEF0675
WHITBY FISH SALES LIMITED,FORK LIFT WHITBY/ICE MACHINES SCARBOROUGH,"£13,487.25","£13,487.25",FEF0676
CEFAS,Investigative trials on the purification of oysters to identify ways of reducing norovirus,"£5,937.50","£5,937.50",FEF0677
Whitby Fish Sales Limited,Additional Requirements / Whitby and Scarborough,"£9,993.50","£9,993.50",FEF0685a
North Sunderland Harbour Commissioners,Freezer Store,"£7,800.00","£7,800.00",FEF0694
"DEFRA,Sustainable Fisheries Team",Liaison Officer (LO) to support a Fisheries Management Reform PilotProject. Location to be confirmed,"£48,605.00", £-   ,FEF0695
Sub Sea Cables UK,ORCA  (Offshore Renewables & Cable Awareness),"£34,250.00","£34,250.00",FEF0700
Warkworth Harbour Commissioners,New Warkworth Harbour Quay,"£144,870.98","£144,870.98",FEF0701
Cefas,Under 10 Sector Discard Project,"£100,000.00", £-   ,
The Rivers Trust,Phase 1: Achieving a Sustainable Eel Fishery,"£250,000.00","£250,000.00",FEF0703
Cefas,Discard ban trial,"£100,000.00", £-   ,
South Hams District Council,Salcombe Fish Quay Improvements,"£401,578.25","£401,578.25",FEF0708
North Sunderland Harbour Commissioners,Fishermen's Gear Stores  - Phase 2,"£14,875.00","£14,875.00",FEF0716
Weymouth and Portland Borough Council,Replacement pontoons and Installation of water commercial RD.,"£20,530.77","£20,530.77",FEF0734
A N Other,Crustastun,£333.40,£333.40,FEF0737
Sutton Harbour Holdings PLC,"Sutton Harbour Lock, Walkways Regeneration","£59,680.78","£3,141.09",FEF1151
South Western Fish Producer Organisation Ltd,Channel beam trawler roller ball foot rope,"£22,312.00","£22,312.00",FEF0738
Dorset Fish and Shellfish Ltd,"Shellfish and Fish Processing Unit,","£6,036.10","£6,036.10",FEF0739
Grimsby Fish Merchants Association Limited,Traditional Fish Smoking - National Education Project,"£9,923.75","£9,923.75",FEF0745
Whitby Fish Sales Limited,MEANS OF DEPOSITING ICE AT WHITBY & SCARBOROUGH HARBO,"£1,372.84","£1,372.84",FEF0764
Whitby & District Fishing Industry Training School,Fishermans Vacancy Matching Service,"£18,035.00","£18,035.00",FEF0788
Scarborough Borough Council,Landing Davits,"£8,565.86","£8,565.86",FEF0832
Monteum Ltd,Improvements to Fisherman's Wharf,"£20,630.25","£20,630.25",FEF0839
NFFO Limited,PFD Pilot,"£24,610.00", £-   ,FEF0884
Sutton Harbour Company,Chill Chain Regeneration,"£154,845.57","£154,845.57",FEF0887
Holy Island of Lindisfarne Community Development T,Regeneration of Holy Island Harbour,"£99,819.43", £-   ,FEF0897
Grimsby Fish Dock Enterprises Ltd,GRIMSBY FISH MARKET MODERNISATION PHASE 2,"£92,548.25","£92,548.25",FEF0898
Sea Fish Industry Authority,Introduction to Commercial Fishing,"£48,480.00", £-   ,FEF0638
Sea Fish Industry Authority,Fishermen's Training,"£246,875.00", £-   ,FEF0903
Blyth Harbour Commission,Blyth Fisheries Support Project,"£305,458.59","£305,458.59",FEF0994
Manchester City Council,Manchester Inland Fish Market,"£699,419.01","£699,419.01",FEF0995
City of London Corporation Billingsgate Market,Billingsgate market Roof Renewal,"£379,180.42", £-   ,FEF0997
Southend Borough Council,Leigh Creek Buoyage,"£2,619.50","£2,619.50",FEF1020
Blue Marine Foundation,Fully Documented Fisheries - Lyme Bay,"£40,600.00","£40,600.00",FEF1007
Severn Rivers Trust,Dinham Weir Access Improvements,"£100,000.09", £-   ,FEF1032
Blue Marine Foundation,LYME BAY MPA _Beer port improvements,"£11,198.00", £-   ,FEF1047
Blue Marine Foundation,LYME BAY MPA _Axmouth port improvements,"£18,878.27", £-   ,FEF1076
Blue Marine Foundation,LYME BAY MPA _West Bay port improvements,"£12,266.56", £-   ,FEF1077
Blue Marine Foundation,LYME BAY MPA – Lyme Regis Port Improvements,"£19,304.27", £-   ,FEF1078
Dorset hand line fishermans association,System JFR,"£1,963.90","£1,963.90",FEF1081
Weymouth & portland fishermans & licensed boatmens,System JFR,£928.79,£928.79,FEF1082
Brixham Trawler Agents Ltd,Ice Plant Renewal,"£187,013.30","£187,013.30",FEF1112
NFFO Limited,Supporting risk based assessments of fisheries for MPAs,"£58,718.08", £-   ,FEF1124
Severn Rivers Trust,Lingen bridge access improvements,"£50,000.00","£50,000.00",FEF1127
North Devon District Council,"The Cove Improvements, Ilfracombe (Fishermen's Stores)","£289,001.90", £-   ,FEF1147
Scarborough Borough Council,WHITBY LANDING DAVIT,"£8,565.00", £-   ,FEF1154
Hartlepool Fish Co Limited,Landing berths,"£12,274.26","£12,274.26",FEF1225
Sustain: The alliance for better food and farming,Sustainable fish Universities,"£19,676.60","£19,676.60",FEF1164
CEFAS,Shark By-Watch 2 - Understanding by-catch of elasmobranchs in UK Waters,"£150,129.00", £-   ,FEF1169
thanet district council,ramsgate harbour eastern outer marina - replacement pontoons,"£162,762.95", £-   ,FEF1214
barrow and furness fishermens association,Barrow ice plant,"£9,444.75","£9,444.75",FEF1216
Grimsby Fish Dock Enterprises Ltd,Fishing vessel ice delivery and land facilities,"£116,790.50","£116,790.50",FEF1217
Sea Fish Industry Authority,New Entrant Training,"£158,625.00","£141,176.25",FEF1325
East Riding of Yorkshire Council,,"£356,259.41", £-   ,FEF1326
Teignmouth District Council,New Fish Quay Teignmouth,"£443,637.26", £-   ,FEF1334
Scarborough Borough Council,Whitby Fish Quay Pile Protection Works,"£190,299.00", £-   ,FEF1339
North Sunderland Harbour Commissioners,upgrade of harbour lighting and power supplies,"£5,061.75","£5,061.75",FEF1340
POOLE HARBOUR COMMISSIONERS,fishermans dock - landing pontoons,"£21,528.00","£21,528.00",FEF1368
The Environment Agency,Rye Harbour Pontoon Moorings,"£112,500.00", £-   ,FEF1451
Devon & Severn IIFCA,IVMS - Enabling monitored Inshore Fisheries across the mobile fleet licenced to the Devon & Severn,"£38,480.20","£38,480.20",FEF1413
the great grimsby seafood village,SEAFOOD SKILLS TRAINING FACILITY,"£7,007.48","£7,007.48",FEF1425
Sutton Harbour Holdings PLC,Upgrade of Chiller,"£81,406.47","£81,406.47",FEF1449
Sea Fish Industry Authority,Personal Flotation Devices for Fishermen in England,"£255,209.00", £-   ,FEF1461
succorfish m2m,AIS INTEGRATION INTO SC2 VMS DEVICE FOR INCREASED SAFETY AT SEA,"£34,355.12","£2,192.88",FEF1520
PLYMOUTH TRAWLER AGENTS,GRADER UPGRADE,"£21,268.22","£1,119.38",FEF1618
SIFCA,bair dragging,"£33,243.80", £-   ,FEF1629
Tyne Rivers Trust,,"£32,726.80","£1,722.46",FEF1631
Sutton Harbour Holdings,Quayside Electrical and Water upgrade,"£16,744.92","£16,744.92",FEF1662
National Federation of Fishermen's Organisations,Safety Equipment,"£28,140.88","£1,481.10",FEF1755
Weymouth and Portland Borough Council,Replace pontoons and water supplies for Fishermens pontoons.,"£6,384.25",£336.07,FEF1756
city of london corporation,sweeper vehicle - billingsgate market,"£32,879.00", £-   ,FEF1785
Scarborough & Filey Fishermans Assoc,Installing ivms on local vehicles,"£6,110.40",£321.60,FEF1791
city of london corporation,scrubber machine - billingsgate market,"£10,870.45", £-   ,FEF1796
Warkworth Harbour Commissioners,Fishermen's Storage Units,"£47,183.75","£2,483.36",FEF1797
NFFO,Inshore VMS Equipment Project,"£11,086.62",£583.51,FEF1804
,,,,
Axis 4 - Sustainable development of fisheries areas,,,,
,,,,
